Vin,Year,Make,Model,Style,Type,Doors,Fuel Type,City Mileage,Highway Mileage,Engine Type,Transmission,Drivetrain,MSRP
1FTFW1ET4CFC98801,2012,Ford,F-150,CREW CAB PICKUP 4-DR,Pickup,,Gasoline,14 - 15 miles/gallon,19 - 21 miles/gallon,3.5L V6 TURBO,6A,4WD,"$39,960 USD"
2CNFLGEW7A6215676,2010,Chevrolet,Equinox,SPORT UTILITY 4-DR,Sport Utility Vehicle (SUV)/Multi-Purpose Vehicle (MPV),4,Gasoline,17 - 20 miles/gallon,24 - 27 miles/gallon,2.4L L4 DOHC 16V,6A,AWD,"$29,795 USD"
1GNKVGEDXBJ124683,2011,Chevrolet,Traverse,SPORT UTILITY 4-DR,Sport Utility Vehicle (SUV)/Multi-Purpose Vehicle (MPV),4,Gasoline,16 miles/gallon,23 miles/gallon,3.6L V6 DOHC 24V,6A,AWD,"$33,865 USD"
1FM5K8D85EGC51332,2014,Ford,Explorer,SPORT UTILITY 4-DR,Sport Utility Vehicle (SUV)/Multi-Purpose Vehicle (MPV),4,Gasoline,,,3.5L V6 DOHC 24V,6A,4WD,"$34,600 USD"
1GCRKSE36BZ125843,2011,Chevrolet,Silverado 1500,EXTENDED CAB PICKUP 4-DR,Pickup,2,Flexible Fuel Vehicle (FFV),15 miles/gallon,21 miles/gallon,5.3L V8 OHV 16V FFV,6A,4WD,"$33,380 USD"
1GCRKSE34BZ331579,2011,Chevrolet,Silverado 1500,EXTENDED CAB PICKUP 4-DR,Pickup,2,Flexible Fuel Vehicle (FFV),15 miles/gallon,21 miles/gallon,5.3L V8 OHV 16V FFV,6A,4WD,"$33,380 USD"
1GC1KXCG7BF105201,2011,Chevrolet,Silverado 2500HD,CREW CAB PICKUP 4-DR,Pickup,4,Gasoline,,,6.0L V8 OHV 16V FFV,6A,4WD,"$39,160 USD"
3GCEK23319G213792,2009,Chevrolet,Silverado 1500,CREW CAB PICKUP 4-DR,Pickup,4,Flexible Fuel Vehicle (FFV),13 - 14 miles/gallon,17 - 20 miles/gallon,5.3L V8 OHV 16V FFV,6A,4WD,"$34,295 USD"
1GNFK13058J125160,2008,Chevrolet,Tahoe,SPORT UTILITY 4-DR,Sport Utility Vehicle (SUV)/Multi-Purpose Vehicle (MPV),4,Flexible Fuel Vehicle (FFV),14 miles/gallon,20 miles/gallon,5.3L V8 OHV 16V FFV,4A,4WD,"$38,490 USD"
1GCRKSEA8BZ256223,2011,Chevrolet,Silverado 1500,EXTENDED CAB PICKUP 4-DR,Pickup,2,Gasoline,15 miles/gallon,21 miles/gallon,4.8L V8 OHV 16V,4A,4WD,"$33,380 USD"
1GCEK19068Z244221,2008,Chevrolet,Silverado 1500,EXTENDED CAB PICKUP 4-DR,Pickup,4,Flexible Fuel Vehicle (FFV),14 miles/gallon,18 - 19 miles/gallon,5.3L V8 OHV 16V FFV,4A,4WD,"$27,025 USD"
1GCRKSE39BZ226827,2011,Chevrolet,Silverado 1500,EXTENDED CAB PICKUP 4-DR,Pickup,2,Flexible Fuel Vehicle (FFV),15 miles/gallon,21 miles/gallon,5.3L V8 OHV 16V FFV,6A,4WD,"$33,380 USD"
JF2SHADC8CH441457,2012,Subaru,Forester,SPORT UTILITY 4-DR,Wagon,4,Gasoline,21 miles/gallon,27 miles/gallon,2.5L H4 SOHC 16V,4A,AWD,"$23,295 USD"
1GNKRLED0BJ323139,2011,Chevrolet,Traverse,SPORT UTILITY 4-DR,Sport Utility Vehicle (SUV)/Multi-Purpose Vehicle (MPV),4,Gasoline,17 miles/gallon,24 miles/gallon,3.6L V6 DOHC 24V,6A,FWD,"$38,105 USD"
JT8BF28G8Y5092007,2000,Lexus,ES 300,SEDAN 4-DR,Sedan/Saloon,4,Gasoline,19 miles/gallon,26 miles/gallon,3.0L V6 DOHC 24V,4A,FWD,"$31,505 USD"
1GNFC130X8R218108,2008,Chevrolet,Tahoe,SPORT UTILITY 4-DR,Sport Utility Vehicle (SUV)/Multi-Purpose Vehicle (MPV),4,Flexible Fuel Vehicle (FFV),14 miles/gallon,19 - 20 miles/gallon,5.3L V8 OHV 16V FFV,4A,RWD,"$34,630 USD"
SAJNX2742SC221351,1995,Jaguar,XJS,CONVERTIBLE 2-DR,Convertible/Cabriolet,2,Gasoline,17 miles/gallon,24 miles/gallon,4.0L L6 DOHC 24V,4A,RWD,"$61,550 USD"
KM8J2CA48KU959428,2019,Hyundai,Tucson,SPORT UTILITY 4-DR,Wagon,4,Gasoline,22 miles/gallon,25 miles/gallon,2.0L L4 DOHC 16V,6A,AWD,"$24,600 USD"
JN8AT2MV9HW025411,2017,Nissan,Rogue,SPORT UTILITY 4-DR,Wagon,4,Gasoline,25 miles/gallon,32 miles/gallon,2.5L L4 DOHC 16V,CVT,AWD,"$25,170 USD"
3C4PDCAB4HT609479,2017,Dodge,Journey,SPORT UTILITY 4-DR,Hatchback/Liftback/Notchback,,Gasoline,19 miles/gallon,26 miles/gallon,2.4L L4 DOHC 16V,4A,FWD,"$20,995 USD"
1GNSHCF40D1174901,2013,Chevrolet,Express,SPORTS VAN,Van,3,Gasoline,,,5.3L V8 OHV 16V,6A,AWD,
1GCSHAF41E1192886,2014,Chevrolet,Express,CARGO VAN,Van,4,Gasoline,13 miles/gallon,17 miles/gallon,5.3L V8 OHV 16V,4A,AWD,"$32,760 USD"
1GCSHAF4XD1128313,2013,Chevrolet,Express,CARGO VAN,Cargo Van,3,Gasoline,13 miles/gallon,17 miles/gallon,5.3L V8 OHV 16V,4A,AWD,"$30,800 USD"
1GNSHCF4XB1169282,2011,Chevrolet,Express,SPORTS VAN,Van,4,Flexible Fuel Vehicle (FFV),13 miles/gallon,17 miles/gallon,5.3L V8 OHV 16V,6A,AWD,"$34,115 USD"
1GNUHCD46A1171573,2010,Chevrolet,Express,SPORTS VAN,Van,4,Gasoline,13 miles/gallon,16 miles/gallon,5.3L V8 OHV 16V,6A,AWD,"$33,920 USD"
1GCSHAF46D1102064,2013,Chevrolet,Express,CARGO VAN,Cargo Van,3,Gasoline,13 miles/gallon,17 miles/gallon,5.3L V8 OHV 16V,4A,AWD,"$30,800 USD"
1GNSHCF41D1178259,2013,Chevrolet,Express,SPORTS VAN,Van,3,Gasoline,,,5.3L V8 OHV 16V,6A,AWD,
1GCSHAF46B1144750,2011,Chevrolet,Express,CARGO VAN,Van,4,Flexible Fuel Vehicle (FFV),13 miles/gallon,17 miles/gallon,5.3L V8 OHV 16V,4A,AWD,"$29,910 USD"
1GNSHCF41D1177807,2013,Chevrolet,Express,SPORTS VAN,Van,3,Gasoline,,,5.3L V8 OHV 16V,6A,AWD,
1GNSHCF48E1183525,2014,Chevrolet,Express,SPORTS VAN,Van,4,Gasoline,13 miles/gallon,17 miles/gallon,5.3L V8 OHV 16V,6A,AWD,"$36,350 USD"
1GCSHAF44E1111881,2014,Chevrolet,Express,CARGO VAN,Van,4,Gasoline,13 miles/gallon,17 miles/gallon,5.3L V8 OHV 16V,4A,AWD,"$32,760 USD"
1GNSHCF41B1169347,2011,Chevrolet,Express,SPORTS VAN,Van,4,Flexible Fuel Vehicle (FFV),13 miles/gallon,17 miles/gallon,5.3L V8 OHV 16V,6A,AWD,"$34,115 USD"
1GCSHAF49D1145748,2013,Chevrolet,Express,CARGO VAN,Cargo Van,3,Gasoline,13 miles/gallon,17 miles/gallon,5.3L V8 OHV 16V,4A,AWD,"$30,800 USD"
1GCSHAF42C1147727,2012,Chevrolet,Express,CARGO VAN,Van,4,Gasoline,13 miles/gallon,17 miles/gallon,5.3L V8 OHV 16V,4A,AWD,"$30,140 USD"
1GCSHAF4XE1131004,2014,Chevrolet,Express,CARGO VAN,Van,4,Gasoline,13 miles/gallon,17 miles/gallon,5.3L V8 OHV 16V,4A,AWD,"$32,760 USD"
1GCSHAF42B1177762,2011,Chevrolet,Express,CARGO VAN,Van,4,Flexible Fuel Vehicle (FFV),13 miles/gallon,17 miles/gallon,5.3L V8 OHV 16V,4A,AWD,"$29,910 USD"
1GNFH154X91168537,2009,Chevrolet,Express,SPORTS VAN,Van,3,Flexible Fuel Vehicle (FFV),13 miles/gallon,16 miles/gallon,5.3L V8 OHV 16V,4A,AWD,"$32,030 USD"
1GCSHAF46C1141770,2012,Chevrolet,Express,CARGO VAN,Van,4,Gasoline,13 miles/gallon,17 miles/gallon,5.3L V8 OHV 16V,4A,AWD,"$30,140 USD"
1GCUHAD41A1173597,2010,Chevrolet,Express,CARGO VAN,Van,4,Gasoline,,,5.3L V8 OHV 16V,4A,AWD,"$29,705 USD"
1GNSHCF44E1202927,2014,Chevrolet,Express,SPORTS VAN,Van,4,Gasoline,13 miles/gallon,17 miles/gallon,5.3L V8 OHV 16V,6A,AWD,"$36,350 USD"
1GCFH154881205656,2008,Chevrolet,Express,CARGO VAN,Cargo Van,3,Flexible Fuel Vehicle (FFV),9 - 12 miles/gallon,12 - 16 miles/gallon,5.3L V8 OHV 16V,4A,AWD,"$27,900 USD"
1GCFH154691131896,2009,Chevrolet,Express,CARGO VAN,Cargo Van,3,Flexible Fuel Vehicle (FFV),10 - 14 miles/gallon,13 - 17 miles/gallon,5.3L V8 OHV 16V,4A,AWD,"$28,720 USD"
1GNUHBD4XA1105280,2010,Chevrolet,Express,SPORTS VAN,Van,4,Gasoline,13 miles/gallon,16 miles/gallon,5.3L V8 OHV 16V,6A,AWD,"$32,070 USD"
1GAWGPFA5B1121045,2011,Chevrolet,Express,SPORTS VAN,Van,4,Gasoline,11 miles/gallon,16 - 17 miles/gallon,4.8L V8 OHV 16V FFV,6A,RWD,"$29,220 USD"
1GNSHCF43D1105202,2013,Chevrolet,Express,SPORTS VAN,Van,3,Gasoline,,,5.3L V8 OHV 16V,6A,AWD,
1GNSHCF44E1106781,2014,Chevrolet,Express,SPORTS VAN,Van,4,Gasoline,13 miles/gallon,17 miles/gallon,5.3L V8 OHV 16V,6A,AWD,"$36,350 USD"
2FMPK4K99JBB74799,2018,Ford,Edge,SPORT UTILITY 4-DR,Sport Utility Vehicle (SUV)/Multi-Purpose Vehicle (MPV),4,Gasoline,20 miles/gallon,27 miles/gallon,2.0L L4 DOHC 16V,6A,AWD,"$37,925 USD"
5XXGT4L34GG056504,2016,Kia,Optima,SEDAN 4-DR,Sedan/Saloon,4,Gasoline,24 miles/gallon,35 miles/gallon,2.4L L4 DOHC 16V,6A,FWD,"$21,840 USD"
1N4AA6AP5GC428256,2016,Nissan,Maxima,SEDAN 4-DR,Sedan/Saloon,4,Gasoline,22 miles/gallon,30 miles/gallon,3.5L V6 DOHC 24V,CVT,FWD,"$32,410 USD"
19XFB2F52DE288832,2013,Honda,Civic,SEDAN 4-DR,Sedan/Saloon,4,Gasoline,28 miles/gallon,39 miles/gallon,1.8L L4 SOHC 16V,5A,FWD,"$18,965 USD"
2HGFG12877H549751,2007,Honda,Civic,COUPE 2-DR,Coupe,2,Gasoline,30 miles/gallon,40 miles/gallon,1.8L L4 SOHC 16V,5A,FWD,"$19,510 USD"
1FDRF3H67JEC35009,2018,Ford,F-350 SD,REGULAR CAB PICKUP 2-DR,Incomplete - Chassis Cab (Single Cab),,Gasoline,,,6.2L V8 OHV 16V,6A,4WD,"$42,215 USD"
2A8GP54L46R656110,2006,Chrysler,Town & Country,SPORTS VAN,Minivan,4,Gasoline,18 miles/gallon,25 miles/gallon,3.8L V6 OHV 12V,4A,FWD,"$27,960 USD"
1GNDT13S982167458,2008,Chevrolet,TrailBlazer,SPORT UTILITY 4-DR,Sport Utility Vehicle (SUV)/Multi-Purpose Vehicle (MPV),4,Gasoline,15 miles/gallon,21 miles/gallon,4.2L L6 DOHC 24V,4A,4WD,"$31,570 USD"
1C6RD7GT2CS306797,2012,RAM,1500,CREW CAB PICKUP 4-DR,Pickup,,Gasoline,13 miles/gallon,18 - 19 miles/gallon,5.7L V8 OHV 16V,5A,4WD,"$33,090 USD"
2V8HW64X69R515975,2009,Volkswagen,Routan,PASSENGER VAN,Wagon,,Gasoline,17 miles/gallon,25 miles/gallon,4.0L V6 SOHC 24V,6A,FWD,"$38,500 USD"
1J4PR4GK3AC116872,2010,Jeep,Grand Cherokee,SPORT UTILITY 4-DR,Sport Utility Vehicle (SUV)/Multi-Purpose Vehicle (MPV),4,Gasoline,14 - 15 miles/gallon,20 miles/gallon,3.7L V6 SOHC 12V,5A,4WD,"$32,680 USD"
1C6RR7LT9FS655421,2015,RAM,1500,CREW CAB PICKUP 4-DR,Pickup,,Gasoline,16 miles/gallon,23 miles/gallon,5.7L V8 OHV 16V,8A,4WD,"$38,915 USD"
1GCVKREC5FZ375118,2015,Chevrolet,Silverado 1500,EXTENDED CAB PICKUP 4-DR,Pickup,,Gasoline,18 miles/gallon,24 miles/gallon,5.3L V8 OHV 16V,6A,4WD,"$37,730 USD"
2G1FB1E34C9156168,2012,Chevrolet,Camaro,COUPE 2-DR,Coupe,2,Gasoline,17 - 19 miles/gallon,28 - 30 miles/gallon,3.6L V6 DOHC 24V FFV,6A,RWD,"$25,200 USD"
JF2SH63689H756406,2009,Subaru,Forester,SPORT UTILITY 4-DR,Wagon,4,,20 miles/gallon,26 miles/gallon,2.5L H4 SOHC 16V,4A,AWD,"$22,495 USD"
4T3ZF13C9YU307675,2000,Toyota,Sienna,SPORTS VAN,Wagon,5,Gasoline,18 miles/gallon,24 miles/gallon,3.0L V6 DOHC 24V,4A,FWD,"$25,298 USD"
2CNDL73F256158836,2005,Chevrolet,Equinox,SPORT UTILITY 4-DR,Sport Utility Vehicle (SUV)/Multi-Purpose Vehicle (MPV),4,,19 miles/gallon,25 miles/gallon,3.4L V6 OHV 12V,5A,AWD,"$24,660 USD"
JTDKB20U657041569,2005,Toyota,Prius,HATCHBACK 4-DR,Hatchback/Liftback/Notchback,4,Gasoline,60 miles/gallon,51 miles/gallon,1.5L L4 DOHC 16V HYBRID,CVT,FWD,"$20,975 USD"
KNDPMCAC3H7131746,2017,Kia,Sportage,SPORT UTILITY 4-DR,Wagon,4,Gasoline,21 miles/gallon,25 miles/gallon,2.4L V6 DOHC 24V,6A,AWD,"$24,490 USD"
3LNHL2JC4AR650770,2010,Lincoln,MKZ,SEDAN 4-DR,Sedan/Saloon,4,Gasoline,,,3.5L V6 DOHC 24V,6A,AWD,"$36,005 USD"
JF2SHADC1DH412657,2013,Subaru,Forester,SPORT UTILITY 4-DR,Wagon,4,Gasoline,21 miles/gallon,27 miles/gallon,2.5L H4 SOHC 16V,CVT,AWD,"$24,295 USD"
1FMCU9DG3BKC24041,2011,Ford,Escape,SPORT UTILITY 4-DR,Sport Utility Vehicle (SUV)/Multi-Purpose Vehicle (MPV),4,Gasoline,18 - 20 miles/gallon,23 - 26 miles/gallon,3.0L V6 DOHC 24V,6A,4WD,"$26,165 USD"
5GAERBKWXLJ110353,2020,Buick,Enclave,SPORT UTILITY 4-DR,Sport Utility Vehicle (SUV)/Multi-Purpose Vehicle (MPV),4,Gasoline,18 miles/gallon,26 miles/gallon,3.6L V6 DOHC 24V,9A,FWD,"$42,000 USD"
