Vin,Year,Make,Model,Style,Type,Doors,Fuel Type,City Mileage,Highway Mileage,Engine Type,Transmission,Drivetrain,MSRP,price,condition,fuel,size,odometer,state,lat,long
1GTHK23D57F102022,2007,GMC,Sierra Classic 2500HD,CREW CAB PICKUP 4-DR,Pickup,4.0,Gasoline,,,6.6L V8 OHV 32V TURBO DIESEL,4A | 5M | 6A | 6M,4WD,"$32,690 USD",16995,good,diesel,full-size,254217.0,mn,45.6836,-92.9648
1GTHK23D57F102022,2007,GMC,Sierra Classic 2500HD,CREW CAB PICKUP 4-DR,Pickup,4.0,Gasoline,,,6.6L V8 OHV 32V TURBO DIESEL,4A | 5M | 6A | 6M,4WD,"$32,690 USD",16995,good,diesel,full-size,254217.0,wi,45.6836,-92.9648
1FTFW1ET4CFC98801,2012,Ford,F-150,CREW CAB PICKUP 4-DR,Pickup,,Gasoline,14 - 15 miles/gallon,19 - 21 miles/gallon,3.5L V6 TURBO,6A,4WD,"$39,960 USD",13995,good,gas,full-size,188406.0,mn,45.6836,-92.9648
1FTFW1ET4CFC98801,2012,Ford,F-150,CREW CAB PICKUP 4-DR,Pickup,,Gasoline,14 - 15 miles/gallon,19 - 21 miles/gallon,3.5L V6 TURBO,6A,4WD,"$39,960 USD",13995,good,gas,full-size,188406.0,wi,45.6836,-92.9648
2CNFLGEW7A6215676,2010,Chevrolet,Equinox,SPORT UTILITY 4-DR,Sport Utility Vehicle (SUV)/Multi-Purpose Vehicle (MPV),4.0,Gasoline,17 - 20 miles/gallon,24 - 27 miles/gallon,2.4L L4 DOHC 16V,6A,AWD,"$29,795 USD",7995,good,gas,full-size,108124.0,mn,45.6836,-92.9648
2CNFLGEW7A6215676,2010,Chevrolet,Equinox,SPORT UTILITY 4-DR,Sport Utility Vehicle (SUV)/Multi-Purpose Vehicle (MPV),4.0,Gasoline,17 - 20 miles/gallon,24 - 27 miles/gallon,2.4L L4 DOHC 16V,6A,AWD,"$29,795 USD",7995,good,gas,full-size,108124.0,wi,45.6836,-92.9648
1GNKVGEDXBJ124683,2011,Chevrolet,Traverse,SPORT UTILITY 4-DR,Sport Utility Vehicle (SUV)/Multi-Purpose Vehicle (MPV),4.0,Gasoline,16 miles/gallon,23 miles/gallon,3.6L V6 DOHC 24V,6A,AWD,"$33,865 USD",8995,good,gas,full-size,178054.0,mn,45.6836,-92.9648
1GNKVGEDXBJ124683,2011,Chevrolet,Traverse,SPORT UTILITY 4-DR,Sport Utility Vehicle (SUV)/Multi-Purpose Vehicle (MPV),4.0,Gasoline,16 miles/gallon,23 miles/gallon,3.6L V6 DOHC 24V,6A,AWD,"$33,865 USD",8995,good,gas,full-size,178054.0,wi,45.6836,-92.9648
1FM5K8D85EGC51332,2014,Ford,Explorer,SPORT UTILITY 4-DR,Sport Utility Vehicle (SUV)/Multi-Purpose Vehicle (MPV),4.0,Gasoline,,,3.5L V6 DOHC 24V,6A,4WD,"$34,600 USD",10995,good,gas,full-size,170259.0,mn,45.6836,-92.9648
1FM5K8D85EGC51332,2014,Ford,Explorer,SPORT UTILITY 4-DR,Sport Utility Vehicle (SUV)/Multi-Purpose Vehicle (MPV),4.0,Gasoline,,,3.5L V6 DOHC 24V,6A,4WD,"$34,600 USD",10995,good,gas,full-size,170259.0,wi,45.6836,-92.9648
