vin,price,condition,fuel,size,type,odometer,state,lat,long
1GTHK23D57F102022,16995,good,diesel,full-size,truck,254217.0,mn,45.6836,-92.9648
1FTFW1ET4CFC98801,13995,good,gas,full-size,truck,188406.0,mn,45.6836,-92.9648
2CNFLGEW7A6215676,7995,good,gas,full-size,SUV,108124.0,mn,45.6836,-92.9648
1GNKVGEDXBJ124683,8995,good,gas,full-size,SUV,178054.0,mn,45.6836,-92.9648
1FM5K8D85EGC51332,10995,good,gas,full-size,SUV,170259.0,mn,45.6836,-92.9648
3D7KU28C24G266232,12995,good,diesel,full-size,truck,309621.0,mn,45.6836,-92.9648
1GCRKSE36BZ125843,10995,good,gas,full-size,truck,210865.0,mn,45.6836,-92.9648
1GCRKSE34BZ331579,12450,good,gas,full-size,truck,150959.0,mn,45.6836,-92.9648
1GC1KXCG7BF105201,15995,good,gas,full-size,truck,223470.0,mn,45.6836,-92.9648
3GCEK23319G213792,11995,good,gas,full-size,truck,170684.0,mn,45.6836,-92.9648
1GNFK13058J125160,10995,good,gas,full-size,SUV,143528.0,mn,45.6836,-92.9648
1GCRKSEA8BZ256223,10995,good,gas,full-size,truck,208016.0,mn,45.6836,-92.9648
1GCEK19068Z244221,9450,good,gas,full-size,truck,196913.0,mn,45.6836,-92.9648
1GCRKSE39BZ226827,14995,good,gas,full-size,truck,102462.0,mn,45.6836,-92.9648
JF2SHADC8CH441457,9885,excellent,electric,mid-size,hatchback,82000.0,ct,41.3323,-72.7809
6342127669,27000,like new,gas,mid-size,coupe,36000.0,mn,46.7016,-92.0912
1GNKRLED0BJ323139,8800,excellent,gas,full-size,SUV,143700.0,mn,47.8536,-92.6933
JT8BF28G8Y5092007,3250,good,gas,mid-size,sedan,260607.0,mn,45.9452,-91.6754
1GNFC130X8R218108,13800,good,gas,full-size,SUV,108869.0,ny,42.7904,-73.9809
1B7GG52NX2S683062,3500,fair,gas,mid-size,pickup,153000.0,ct,41.5986,-73.3663
SAJNX2742SC221351,12500,excellent,gas,mid-size,convertible,82740.0,ct,41.3229,-73.08
1J4FY19S2WP754640,4300,fair,gas,full-size,SUV,144263.0,ct,41.2175,-73.0549
KM8J2CA48KU959428,17995,like new,gas,mid-size,SUV,22289.0,mn,45.8327,-95.3891
KNDJT2A67D7536872,6995,excellent,gas,mid-size,SUV,110346.0,mn,45.8327,-95.3892
JN8AT2MV9HW025411,17237,excellent,gas,mid-size,SUV,28269.0,mn,46.5767,-95.5747
3C4PDCAB4HT609479,11999,excellent,gas,mid-size,SUV,66782.0,mn,46.5764,-95.5747
1GNSHCF40D1174901,18333,good,gas,full-size,van,119598.0,mn,45.5534,-94.2318
1GCSHAF41E1192886,19788,good,gas,mid-size,van,79091.0,mn,45.5534,-94.2318
1GCSHAF4XD1128313,16488,good,gas,mid-size,van,131164.0,mn,45.5534,-94.2318
1GNSHCF4XB1169282,23488,good,gas,full-size,van,53646.0,mn,45.5534,-94.2318
1GNUHCD46A1171573,14600,good,gas,full-size,van,150778.0,mn,45.5534,-94.2318
1GCSHAF46D1102064,21999,good,gas,mid-size,van,74273.0,mn,45.5534,-94.2318
1GNSHCF41D1178259,22488,good,gas,full-size,van,78507.0,mn,45.5534,-94.2318
1GCSHAF46B1144750,14980,good,gas,mid-size,van,146660.0,mn,45.5534,-94.2318
1GNSHCF41D1177807,21970,good,gas,full-size,van,86643.0,mn,45.5534,-94.2318
1GNSHCF48E1183525,22994,good,gas,full-size,van,90822.0,mn,45.5534,-94.2318
1GCSHAF44E1111881,19750,good,gas,mid-size,van,109527.0,mn,45.5534,-94.2318
1GNSHCF41B1169347,21969,good,gas,full-size,van,73766.0,mn,45.5534,-94.2318
1GCSHAF49D1145748,13888,good,gas,mid-size,van,185423.0,mn,45.5534,-94.2318
1GCSHAF42C1147727,15788,good,gas,mid-size,van,145996.0,mn,45.5534,-94.2318
1GCSHAF4XE1131004,12970,good,gas,mid-size,van,198334.0,mn,45.5534,-94.2318
1GCSHAF42B1177762,15777,good,gas,mid-size,van,134177.0,mn,45.5534,-94.2318
1GNFH154X91168537,22999,good,gas,full-size,van,40533.0,mn,45.5534,-94.2318
1GCSHAF46C1141770,11650,good,gas,mid-size,van,198117.0,mn,45.5534,-94.2318
1GCUHAD41A1173597,13788,good,gas,mid-size,van,187867.0,mn,45.5534,-94.2318
1GNSHCF44E1202927,16970,good,gas,mid-size,van,127411.0,mn,45.5534,-94.2318
1GCFH154881205656,16888,good,gas,mid-size,van,99898.0,mn,45.5534,-94.2318
1GCFH154691131896,10950,good,gas,mid-size,van,196611.0,mn,45.5534,-94.2318
1GNUHBD4XA1105280,19988,good,gas,full-size,van,93060.0,mn,45.5534,-94.2318
1GAWGPFA5B1121045,31988,good,gas,full-size,van,30394.0,mn,45.5534,-94.2318
1GNSHCF43D1105202,26888,good,gas,full-size,van,40234.0,mn,45.5534,-94.2318
1GNSHCF44E1106781,23998,good,gas,full-size,van,71416.0,mn,45.5534,-94.2318
2FMPK4K99JBB74799,16990,excellent,gas,full-size,SUV,110000.0,mn,46.9149,-98.0269
5XXGT4L34GG056504,14900,excellent,gas,mid-size,sedan,48900.0,nc,35.9786,-77.7923
1N4AA6AP5GC428256,18900,excellent,gas,mid-size,sedan,58112.0,nc,35.9786,-77.7923
19XFB2F52DE288832,9750,good,gas,compact,sedan,77000.0,dc,38.8776,-77.3885
1ZVBP8AM1C5287986,9000,excellent,gas,mid-size,coupe,110400.0,ny,42.7287,-73.6683
2HGFG12877H549751,3995,excellent,gas,sub-compact,coupe,161776.0,ny,42.4636,-73.2532
1FDRF3H67JEC35009,46900,excellent,gas,full-size,other,24099.0,ny,42.4759,-73.3773
